MatchId,BotType,Result,TimeMs,TotalClicks
0250,RandomBot,DEFEAT,0,4
0251,RandomBot,VICTORY,0,1
0252,RandomBot,DEFEAT,0,6
0253,RandomBot,DEFEAT,0,8
0254,RandomBot,DEFEAT,0,3
0255,RandomBot,DEFEAT,0,9
0256,RandomBot,DEFEAT,0,4
0257,RandomBot,DEFEAT,0,1
0258,RandomBot,DEFEAT,0,2
0259,RandomBot,DEFEAT,0,4
0260,RandomBot,DEFEAT,0,4
0261,RandomBot,DEFEAT,0,3
0262,RandomBot,DEFEAT,0,6
0263,RandomBot,DEFEAT,0,2
0264,RandomBot,DEFEAT,0,3
0265,RandomBot,DEFEAT,0,2
0266,RandomBot,DEFEAT,0,6
0267,RandomBot,DEFEAT,0,2
0268,RandomBot,DEFEAT,0,4
0269,RandomBot,DEFEAT,0,3
0270,RandomBot,DEFEAT,0,2
0271,RandomBot,DEFEAT,0,8
0272,RandomBot,DEFEAT,0,5
0273,RandomBot,DEFEAT,0,2
0274,RandomBot,DEFEAT,0,2
0275,RandomBot,DEFEAT,0,1
0276,RandomBot,DEFEAT,0,3
0277,RandomBot,DEFEAT,0,7
0278,RandomBot,DEFEAT,0,1
0279,RandomBot,DEFEAT,0,2
0280,RandomBot,DEFEAT,0,2
0281,RandomBot,DEFEAT,0,6
0282,RandomBot,DEFEAT,0,6
0283,RandomBot,DEFEAT,0,1
0284,RandomBot,DEFEAT,0,4
0285,RandomBot,DEFEAT,0,2
0286,RandomBot,DEFEAT,0,3
0287,RandomBot,DEFEAT,0,6
0288,RandomBot,DEFEAT,0,4
0289,RandomBot,DEFEAT,0,2
0290,RandomBot,DEFEAT,0,4
0291,RandomBot,DEFEAT,0,1
0292,RandomBot,DEFEAT,0,3
0293,RandomBot,DEFEAT,0,7
0294,RandomBot,DEFEAT,0,7
0295,RandomBot,DEFEAT,0,3
0296,RandomBot,DEFEAT,0,4
0297,RandomBot,DEFEAT,0,5
0298,RandomBot,DEFEAT,0,8
0299,RandomBot,DEFEAT,0,8
0300,RandomBot,DEFEAT,0,2
0301,RandomBot,DEFEAT,0,1
0302,RandomBot,DEFEAT,0,5
0303,RandomBot,DEFEAT,0,5
0304,RandomBot,DEFEAT,0,1
0305,RandomBot,DEFEAT,0,3
0306,RandomBot,DEFEAT,0,2
0307,RandomBot,VICTORY,0,2
0308,RandomBot,DEFEAT,0,1
0309,RandomBot,DEFEAT,0,12
0310,RandomBot,DEFEAT,0,10
0311,RandomBot,DEFEAT,0,5
0312,RandomBot,DEFEAT,0,5
0313,RandomBot,DEFEAT,0,8
0314,RandomBot,DEFEAT,0,4
0315,RandomBot,DEFEAT,0,3
0316,RandomBot,DEFEAT,0,5
0317,RandomBot,DEFEAT,0,6
0318,RandomBot,DEFEAT,0,6
0319,RandomBot,DEFEAT,0,3
0320,RandomBot,DEFEAT,0,2
0321,RandomBot,DEFEAT,0,4
0322,RandomBot,DEFEAT,0,4
0323,RandomBot,DEFEAT,0,3
0324,RandomBot,DEFEAT,0,3
0325,RandomBot,DEFEAT,0,8
0326,RandomBot,DEFEAT,0,1
0327,RandomBot,DEFEAT,0,2
0328,RandomBot,DEFEAT,0,2
0329,RandomBot,DEFEAT,0,2
0330,RandomBot,DEFEAT,0,5
0331,RandomBot,DEFEAT,0,4
0332,RandomBot,DEFEAT,0,3
0333,RandomBot,DEFEAT,0,1
0334,RandomBot,DEFEAT,0,3
0335,RandomBot,DEFEAT,0,3
0336,RandomBot,DEFEAT,0,2
0337,RandomBot,DEFEAT,0,3
0338,RandomBot,VICTORY,1,7
0339,RandomBot,DEFEAT,0,3
0340,RandomBot,DEFEAT,0,1
0341,RandomBot,DEFEAT,0,4
0342,RandomBot,DEFEAT,0,5
0343,RandomBot,DEFEAT,0,10
0344,RandomBot,DEFEAT,0,9
0345,RandomBot,DEFEAT,0,5
0346,RandomBot,DEFEAT,0,2
0347,RandomBot,DEFEAT,0,13
0348,RandomBot,DEFEAT,0,2
0349,RandomBot,DEFEAT,0,2
0350,RandomBot,DEFEAT,0,6
0351,RandomBot,DEFEAT,0,4
0352,RandomBot,DEFEAT,0,4
0353,RandomBot,DEFEAT,0,1
0354,RandomBot,DEFEAT,0,3
0355,RandomBot,DEFEAT,0,3
0356,RandomBot,DEFEAT,0,8
0357,RandomBot,DEFEAT,0,4
0358,RandomBot,DEFEAT,0,4
0359,RandomBot,DEFEAT,0,2
0360,RandomBot,DEFEAT,0,2
0361,RandomBot,DEFEAT,0,2
0362,RandomBot,DEFEAT,0,3
0363,RandomBot,DEFEAT,0,4
0364,RandomBot,DEFEAT,0,1
0365,RandomBot,DEFEAT,0,2
0366,RandomBot,DEFEAT,0,3
0367,RandomBot,DEFEAT,0,7
0368,RandomBot,DEFEAT,0,2
0369,RandomBot,DEFEAT,0,8
0370,RandomBot,DEFEAT,0,1
0371,RandomBot,DEFEAT,0,2
0372,RandomBot,DEFEAT,0,1
0373,RandomBot,DEFEAT,0,3
0374,RandomBot,DEFEAT,0,3
0375,RandomBot,DEFEAT,0,5
0376,RandomBot,DEFEAT,1,2
0377,RandomBot,DEFEAT,0,5
0378,RandomBot,DEFEAT,0,1
0379,RandomBot,DEFEAT,0,4
0380,RandomBot,DEFEAT,0,5
0381,RandomBot,DEFEAT,0,2
0382,RandomBot,DEFEAT,0,2
0383,RandomBot,DEFEAT,0,3
0384,RandomBot,DEFEAT,0,3
0385,RandomBot,DEFEAT,0,2
0386,RandomBot,DEFEAT,0,1
0387,RandomBot,DEFEAT,0,3
0388,RandomBot,DEFEAT,0,2
0389,RandomBot,DEFEAT,0,3
0390,RandomBot,DEFEAT,0,2
0391,RandomBot,DEFEAT,0,3
0392,RandomBot,DEFEAT,0,3
0393,RandomBot,DEFEAT,0,2
0394,RandomBot,DEFEAT,0,2
0395,RandomBot,DEFEAT,0,3
0396,RandomBot,DEFEAT,0,2
0397,RandomBot,DEFEAT,0,8
0398,RandomBot,DEFEAT,0,8
0399,RandomBot,DEFEAT,0,8
0400,RandomBot,DEFEAT,0,2
0401,RandomBot,DEFEAT,0,3
0402,RandomBot,DEFEAT,0,4
0403,RandomBot,DEFEAT,0,3
0404,RandomBot,DEFEAT,0,3
0405,RandomBot,DEFEAT,0,2
0406,RandomBot,DEFEAT,0,3
0407,RandomBot,DEFEAT,0,2
0408,RandomBot,DEFEAT,0,3
0409,RandomBot,DEFEAT,0,4
0410,RandomBot,DEFEAT,0,8
0411,RandomBot,DEFEAT,0,5
0412,RandomBot,DEFEAT,0,6
0413,RandomBot,DEFEAT,0,4
0414,RandomBot,DEFEAT,0,3
0415,RandomBot,DEFEAT,0,3
0416,RandomBot,DEFEAT,0,4
0417,RandomBot,DEFEAT,0,2
0418,RandomBot,DEFEAT,0,2
0419,RandomBot,DEFEAT,0,11
0420,RandomBot,DEFEAT,0,5
0421,RandomBot,DEFEAT,0,3
0422,RandomBot,DEFEAT,0,6
0423,RandomBot,DEFEAT,0,4
0424,RandomBot,DEFEAT,0,5
0425,RandomBot,DEFEAT,0,7
0426,RandomBot,DEFEAT,0,4
0427,RandomBot,DEFEAT,0,2
0428,RandomBot,DEFEAT,0,6
0429,RandomBot,DEFEAT,0,4
0430,RandomBot,DEFEAT,0,2
0431,RandomBot,DEFEAT,1,9
0432,RandomBot,DEFEAT,0,3
0433,RandomBot,DEFEAT,0,4
0434,RandomBot,DEFEAT,0,3
0435,RandomBot,DEFEAT,0,9
0436,RandomBot,DEFEAT,0,8
0437,RandomBot,DEFEAT,0,9
0438,RandomBot,DEFEAT,0,7
0439,RandomBot,DEFEAT,0,4
0440,RandomBot,DEFEAT,0,2
0441,RandomBot,DEFEAT,0,9
0442,RandomBot,DEFEAT,0,7
0443,RandomBot,DEFEAT,0,2
0444,RandomBot,DEFEAT,0,3
0445,RandomBot,DEFEAT,0,5
0446,RandomBot,DEFEAT,0,5
0447,RandomBot,DEFEAT,0,8
0448,RandomBot,DEFEAT,1,9
0449,RandomBot,DEFEAT,0,3
0450,RandomBot,DEFEAT,0,3
0451,RandomBot,DEFEAT,0,11
0452,RandomBot,DEFEAT,0,6
0453,RandomBot,DEFEAT,0,2
0454,RandomBot,DEFEAT,0,2
0455,RandomBot,DEFEAT,0,8
0456,RandomBot,DEFEAT,0,2
0457,RandomBot,DEFEAT,0,4
0458,RandomBot,DEFEAT,0,5
0459,RandomBot,DEFEAT,0,5
0460,RandomBot,DEFEAT,0,7
0461,RandomBot,DEFEAT,0,2
